Source,Target,Type,id,label,timeset,weight
stevestevens47,ausgrandprix,Directed,1670,,,1.0
stevestevens47,kvyatofficial,Directed,1671,,,1.0
stevestevens47,carlossainz55,Directed,1672,,,1.0
stevestevens47,tororossospy,Directed,1673,,,1.0
stevestevens47,mclarenf1,Directed,1674,,,1.0
stevestevens47,svandoorne,Directed,1675,,,1.0
stevestevens47,williamsracing,Directed,1676,,,1.0
stevestevens47,massafelipe19,Directed,1677,,,1.0
stevestevens47,forceindiaf1,Directed,1678,,,1.0
stevestevens47,oconesteban,Directed,1679,,,1.0
stevestevens47,mercedesamgf1,Directed,1680,,,1.0
stevestevens47,scuderiaferrari,Directed,1681,,,1.0
danielsahne94,scuderiaferrari,Directed,1695,,,1.0
danielsahne94,valtteribottas,Directed,1696,,,1.0
danielsahne94,f1,Directed,1697,,,1.0
danielsahne94,max33verstappen,Directed,1698,,,1.0
yt5528,massafelipe19,Directed,1708,,,1.0
yt5528,williamsracing,Directed,1709,,,1.0
elisagaggioli,elisagaggioli,Directed,1716,,,1.0
d_victormartil,movistar_f1,Directed,1731,,,1.0
d_victormartil,noemidemiguel,Directed,1732,,,1.0
d_victormartil,pirellisport,Directed,1733,,,1.0
eliaslauda,mercedesamgf1,Directed,1742,,,1.0
eliaslauda,laf1surcanal,Directed,1743,,,1.0
eliaslauda,ausgrandprix,Directed,1744,,,1.0
f1_images,ericsson_marcus,Directed,1745,,,1.0
f1_images,mclarenf1,Directed,1746,,,1.0
f1_images,anto_giovinazzi,Directed,1747,,,1.0
f1_images,sauberf1team,Directed,1748,,,1.0
f1_images,tororossospy,Directed,1749,,,1.0
f1_images,forceindiaf1,Directed,1750,,,1.0
f1_images,massafelipe19,Directed,1751,,,1.0
f1_images,williamsracing,Directed,1752,,,1.0
f1_images,redbullracing,Directed,1753,,,1.0
f1_images,mercedesamgf1,Directed,1754,,,1.0
f1_images,scuderiaferrari,Directed,1755,,,1.0
aagilang89,scuderiaferrari,Directed,1756,,,1.0
aagilang89,f1,Directed,1757,,,1.0
aagilang89,lewishamilton,Directed,1758,,,1.0
habraham15,enricotornello,Directed,1775,,,1.0
habraham15,laf1surcanal,Directed,1776,,,1.0
habraham15,motorlat,Directed,1777,,,1.0
habraham15,f1,Directed,1778,,,1.0
_mic_mel,scuderiaferrari,Directed,1792,,,1.0
_mic_mel,f1,Directed,1793,,,1.0
_mic_mel,pirellisport,Directed,1794,,,1.0
carlitosj2011,enricotornello,Directed,1797,,,1.0
carlitosj2011,f1latinamerica,Directed,1798,,,1.0
carlitosj2011,f1,Directed,1799,,,1.0
carlitosj2011,forof1paraguay,Directed,1800,,,1.0
carlitosj2011,f1_paraguay,Directed,1801,,,1.0
kleoshloss1,mercedesamgf1,Directed,1821,,,1.0
kleoshloss1,scuderiaferrari,Directed,1822,,,1.0
kleoshloss1,formulahumor,Directed,1823,,,1.0
kleoshloss1,scuderia7,Directed,1824,,,1.0
scotland2888,scuderiaferrari,Directed,1825,,,1.0
scotland2888,f1,Directed,1826,,,1.0
scotland2888,max33verstappen,Directed,1827,,,1.0
scotland2888,skysportsf1,Directed,1828,,,1.0
scotland2888,valtteribottas,Directed,1829,,,1.0
scotland2888,ausgrandprix,Directed,1830,,,1.0
scotland2888,oconesteban,Directed,1831,,,1.0
scotland2888,forceindiaf1,Directed,1832,,,1.0
scotland2888,danielricciardo,Directed,1833,,,1.0
scotland2888,redbullracing,Directed,1834,,,1.0
scotland2888,mercedesamgf1,Directed,1835,,,1.0
carvajavo,motorlat,Directed,1840,,,1.0
carvajavo,pirellisport,Directed,1841,,,1.0
mohdawwal_,lewishamilton,Directed,1843,,,1.0
mohdawwal_,alo_oficial,Directed,1844,,,1.0
mohdawwal_,mercedesamgf1,Directed,1845,,,1.0
elierizkf1,scuderiaferrari,Directed,1846,,,1.0
eko_sap56963457,elierizkf1,Directed,1847,,,1.0
eko_sap56963457,scuderiaferrari,Directed,1849,,,1.0
eko_sap56963457,andersonlaura12,Directed,1850,,,1.0
eko_sap56963457,renaultsportf1,Directed,1851,,,1.0
eko_sap56963457,mattzel89,Directed,1852,,,1.0
eko_sap56963457,oconesteban,Directed,1853,,,1.0
eko_sap56963457,anto_giovinazzi,Directed,1854,,,1.0
eko_sap56963457,skysportf1hd,Directed,1855,,,1.0
giulialabo,scuderiaferrari,Directed,1859,,,1.0
giulialabo,f1,Directed,1860,,,1.0
giulialabo,formulahumor,Directed,1862,,,1.0
giulialabo,oconesteban,Directed,1863,,,1.0
giulialabo,anto_giovinazzi,Directed,1864,,,1.0
giulialabo,skysportf1hd,Directed,1865,,,1.0
karol__crf,suttonimages,Directed,1876,,,1.0
karol__crf,mercedesamgf1,Directed,1877,,,1.0
karol__crf,lewishamilton,Directed,1878,,,1.0
fishtrenado,momentses,Directed,1948,,,1.0
fishtrenado,laaficion,Directed,1951,,,1.0
fishtrenado,schecoperez,Directed,1954,,,1.0
fishtrenado,scuderiaferrari,Directed,1955,,,1.0
fishtrenado,a3formula1,Directed,1956,,,1.0
fishtrenado,pirellisport,Directed,1957,,,1.0
fishtrenado,carlossainz55,Directed,1958,,,1.0
fishtrenado,laf1surcanal,Directed,1959,,,1.0
fishtrenado,motorlat,Directed,1960,,,1.0
fishtrenado,telemetricof1,Directed,1961,,,1.0
fishtrenado,fia,Directed,1962,,,1.0
irina05791,ausgrandprix,Directed,1963,,,1.0
irina05791,f1,Directed,1964,,,1.0
irina05791,lewishamilton,Directed,1965,,,1.0
irina05791,mercedesamgf1,Directed,1966,,,1.0
mardiso20,skysportf1hd,Directed,1982,,,1.0
mardiso20,skysport,Directed,1983,,,1.0
mardiso20,scuderiaferrari,Directed,1984,,,1.0
protiereclaude,enricotornello,Directed,1996,,,1.0
protiereclaude,kvyatofficial,Directed,1997,,,1.0
protiereclaude,tororossospy,Directed,1998,,,1.0
marco_rv94,valtteribottas,Directed,2003,,,1.0
marco_rv94,lewishamilton,Directed,2004,,,1.0
marco_rv94,skysportf1hd,Directed,2005,,,1.0
smurf_118,wtf1official,Directed,2006,,,1.0
smurf_118,scuderiaferrari,Directed,2007,,,1.0
smurf_118,f1,Directed,2008,,,1.0
smurf_118,therealdcf1,Directed,2009,,,1.0
smurf_118,c4f1,Directed,2010,,,1.0
smurf_118,mercedesamgf1,Directed,2011,,,1.0
smurf_118,valtteribottas,Directed,2012,,,1.0
smurf_118,lewishamilton,Directed,2013,,,1.0
perhapschiba,pirellisport,Directed,2023,,,1.0
perhapschiba,f1,Directed,2024,,,1.0
perhapschiba,danielricciardo,Directed,2025,,,1.0
amitsingh8888,oconesteban,Directed,2037,,,1.0
amitsingh8888,forceindiaf1,Directed,2038,,,1.0
amitsingh8888,f1,Directed,2039,,,1.0
cohenleoncarlos,wtf1official,Directed,2043,,,1.0
cohenleoncarlos,scuderiaferrari,Directed,2044,,,1.0
cohenleoncarlos,f1,Directed,2045,,,1.0
jeantonnerot,michaelcarus0,Directed,2052,,,1.0
jeantonnerot,toddkellyracing,Directed,2053,,,1.0
jeantonnerot,nissan_msport,Directed,2054,,,1.0
jenlove48,scuderiafe,Directed,2057,,,1.0
jenlove48,vettel_formel1,Directed,2058,,,1.0
jenlove48,scuderiaferrari,Directed,2059,,,1.0
masterlap_com,masterlap_com,Directed,2060,,,1.0
masterlap_com,valtteribottas,Directed,2061,,,1.0
masterlap_com,lewishamilton,Directed,2062,,,1.0
ivanngfok,ivanngfok,Directed,2071,,,1.0
ivanngfok,scuderiaferrari,Directed,2072,,,1.0
ivanngfok,f1,Directed,2073,,,1.0
rach_f1,ffsgiovinco,Directed,2085,,,1.0
rach_f1,alexs1man,Directed,2086,,,1.0
awaisssss_,f1,Directed,2103,,,1.0
awaisssss_,scuderiaferrari,Directed,2104,,,1.0
awaisssss_,suttonimages,Directed,2105,,,1.0
awaisssss_,mercedesamgf1,Directed,2106,,,1.0
awaisssss_,lewishamilton,Directed,2107,,,1.0
awaisssss_,valtteribottas,Directed,2108,,,1.0
skysport,oconesteban,Directed,2114,,,1.0
skysport,anto_giovinazzi,Directed,2115,,,1.0
skysport,skysportf1hd,Directed,2116,,,1.0
matazaleras97,scuderiaferrari,Directed,2125,,,1.0
arseniy1980,ausgrandprix,Directed,2128,,,1.0
arseniy1980,f1,Directed,2129,,,1.0
arseniy1980,lewishamilton,Directed,2130,,,1.0
arseniy1980,mercedesamgf1,Directed,2131,,,1.0
