id;label;timeset;followed;followers;tweets;favorites;time zone
rojasandreaj;rojasandreaj;;276;412;46891;2837;Eastern Time (US & Canada)
noawyne;noawyne;;260;411;7271;5300;Perth
jeantonnerot;jeantonnerot;;339;410;37900;621;
1972boro;1972boro;;188;408;19612;55309;
martincandiab;martincandiab;;674;403;569;91;
kate_samayoa;kate_samayoa;;338;391;12015;22811;
rc_xtr3m;rc_xtr3m;;733;389;14832;14828;Paris
corra_davide;corra_davide;;714;388;15058;6779;Rome
williammwangi;williammwangi;;466;382;8874;6217;Quito
23senna;23senna;;421;382;13320;7429;
f1gregory;f1gregory;;77;381;669;208;
amsuazac;amsuazac;;1154;380;30119;24809;
jero_charlone;jero_charlone;;264;380;2887;141;Buenos Aires
saporteza;saporteza;;72;378;102985;346;Hong Kong
ispanico14;ispanico14;;542;378;9626;10655;Rome
lunaazul3003;lunaazul3003;;433;377;2875;1197;
f1_daniel5;f1_daniel5;;726;376;3930;6783;
factuallmpala;factuallmpala;;606;372;2726;2918;Pacific Time (US & Canada)
racetimeru;racetimeru;;278;369;12857;11;Baghdad
briceoka;briceoka;;224;367;30780;2664;Casablanca
jess_car;jess_car;;380;359;15430;7017;London
cuscorepublica;cuscorepublica;;207;359;18667;3048;
giulialabo;giulialabo;;148;357;7247;14849;Ljubljana
vittoria510;vittoria510;;1143;354;13835;24756;
stormjnyoureyes;stormjnyoureyes;;283;353;19058;24875;Pacific Time (US & Canada)
sarik31;sarik31;;502;350;11594;9203;Rome
nezuburu;nezuburu;;475;348;15542;60411;Tokyo
djpbut;djpbut;;481;348;39570;7347;
kupsie91;kupsie91;;246;347;1613;884;
bruce_lee23;bruce_lee23;;178;347;47229;9163;Eastern Time (US & Canada)
natan_silva77;natan_silva77;;1491;345;37730;35153;
kplumel;kplumel;;176;343;6116;5042;
fersantangelo;fersantangelo;;429;334;42112;704;
isaias582;isaias582;;706;330;16606;1194;Central Time (US & Canada)
amsinyeccion;amsinyeccion;;406;325;3041;1685;
charlybrown93;charlybrown93;;542;320;16525;215;
marco_rv94;marco_rv94;;539;315;3225;10355;Pacific Time (US & Canada)
josephf198;josephf198;;197;313;26723;23590;Pacific Time (US & Canada)
en_aizuddin;en_aizuddin;;288;312;47850;960;Kuala Lumpur
hashimamla03ha;hashimamla03ha;;502;311;2016;174;Pacific Time (US & Canada)
ritaaladeen5;ritaaladeen5;;196;310;25611;5956;Casablanca
yoshua_h;yoshua_h;;213;310;29884;839;Jakarta
eko_sap56963457;eko_sap56963457;;1664;308;11387;10907;Pacific Time (US & Canada)
adhyra80;adhyra80;;152;304;4147;73004;
antomdcccxxi;antomdcccxxi;;281;302;4982;601;Athens
shel_hwds;shel_hwds;;164;298;1259;198;Perth
tigersolidsnake;tigersolidsnake;;831;295;8355;24798;Bern
knightcharon;knightcharon;;572;295;6081;451;London
megalomaxi92;megalomaxi92;;566;293;8989;15199;Rome
thomasmiles77;thomasmiles77;;1027;292;2441;2305;
adrysns916;adrysns916;;511;292;40229;12062;Mumbai
oxodox;oxodox;;1368;285;3241;1277;West Central Africa
dodajpodaj;dodajpodaj;;207;285;4890;6428;Zagreb
ladakatokkon;ladakatokkon;;610;279;4036;9;Beijing
jyc73;jyc73;;581;275;1484;5049;London
mattyc16_;mattyc16_;;691;273;2413;931;
luizeduardo1311;luizeduardo1311;;322;271;18275;94027;
tigerzx59;tigerzx59;;2058;268;16542;13353;
josemanuel_28;josemanuel_28;;467;266;14091;3854;Guadalajara
mireillebrigit;mireillebrigit;;289;265;2177;21690;Greenland
alfredobravo17;alfredobravo17;;743;263;29010;5597;
tokyo_to_japan;tokyo_to_japan;;299;260;6614;1312;Tokyo
amilcar07gm;amilcar07gm;;756;258;4849;1226;Mexico City
cohenleoncarlos;cohenleoncarlos;;780;256;8717;937;Mexico City
drifdk;drifdk;;237;255;17501;54;
lelecoccia;lelecoccia;;27;252;45495;24958;Hawaii
henry_albertof1;henry_albertof1;;735;251;13315;11073;Central Time (US & Canada)
wimsadmojo;wimsadmojo;;398;250;11428;13155;Eastern Time (US & Canada)
sicial;sicial;;587;246;1176;0;Rome
iamshaishak;iamshaishak;;216;243;12034;171;Kuala Lumpur
alejand20099936;alejand20099936;;328;240;17520;18237;
smolenskyandrew;smolenskyandrew;;1351;238;4256;518;
phonexfly;phonexfly;;329;237;30442;32069;Mountain Time (US & Canada)
gremlins2012;gremlins2012;;1343;232;18280;415;Greenland
jaymilee_;jaymilee_;;536;232;12652;544;London
elisagaggioli;elisagaggioli;;189;228;9789;4515;London
awaisssss_;awaisssss_;;29;228;18113;32714;
jenlove48;jenlove48;;219;225;19453;8179;
francorral711;francorral711;;231;225;5673;2138;Mid-Atlantic
hermibaby;hermibaby;;336;225;42410;43475;
joana3028;joana3028;;2066;223;3026;512;
baulemargherite;baulemargherite;;506;215;13592;24283;
_moscardino;_moscardino;;212;213;8299;22;Eastern Time (US & Canada)
cdjlvv;cdjlvv;;486;213;17772;96;
grandprixfundf1;grandprixfundf1;;318;213;6064;948;America/Los_Angeles
ss_may5;ss_may5;;126;211;35568;53647;Brasilia
omega112;omega112;;487;209;21110;3983;Eastern Time (US & Canada)
yas_ivettel;yas_ivettel;;345;208;39701;7373;Brussels
matthewnotmatt;matthewnotmatt;;423;204;13512;2357;London
dukeroba;dukeroba;;235;203;280;340;
meriuska;meriuska;;531;201;7124;377;London
filhopaulo2012;filhopaulo2012;;130;200;37114;34513;
f1ygolf;f1ygolf;;145;198;2027;168;Caracas
cconcep240;cconcep240;;1163;197;1344;1000;Arizona
scarro_ny;scarro_ny;;252;197;910;864;Rome
moey2612;moey2612;;767;196;24399;8548;
delavallee27;delavallee27;;127;196;21947;8171;
ed96webchannel;ed96webchannel;;917;193;27748;20584;Rome
pvshatunov;pvshatunov;;347;191;17942;4373;
jessychiap17;jessychiap17;;281;186;3546;3490;Athens
mahmad4457;mahmad4457;;794;185;28013;15;
januszcwikla;januszcwikla;;401;185;5231;36962;Ljubljana
joanne7r;joanne7r;;313;185;4317;7484;London
aitor10000;aitor10000;;550;183;3036;292;Hawaii
scud3k_;scud3k_;;541;180;8838;1751;Pacific Time (US & Canada)
ezzy99_;ezzy99_;;148;180;6765;1558;Hanoi
d_victormartil;d_victormartil;;137;177;2171;1649;Madrid
rajkumar_starz;rajkumar_starz;;548;175;11727;3161;
allischacon;allischacon;;19;175;6952;4;America/Bogota
gnsolito;gnsolito;;932;171;1680;1425;Rome
perhapschiba;perhapschiba;;21;171;161;100;Hong Kong
pietroserri;pietroserri;;607;167;13896;13319;Santiago
deportivamich;deportivamich;;189;167;6893;3750;Eastern Time (US & Canada)
oto_sports;oto_sports;;53;165;31168;22539;
realjohnyromero;realjohnyromero;;922;164;15946;4684;Eastern Time (US & Canada)
1medders1;1medders1;;336;163;4132;245;
lewis_angelo;lewis_angelo;;104;160;37721;113;Madrid
laurent_bouchet;laurent_bouchet;;723;160;16254;1142;
diabloesparza;diabloesparza;;418;159;5691;5621;
paciucci_olga;paciucci_olga;;257;158;6432;10838;
maresjuan7;maresjuan7;;669;157;3988;2361;
gummy_liz;gummy_liz;;397;154;10420;3041;Casablanca
jorge_rebe12;jorge_rebe12;;308;154;7594;5147;
andrea90f1;andrea90f1;;886;150;2446;81;
fabiobusolo;fabiobusolo;;255;148;3776;3894;Greenland
joyman007;joyman007;;181;147;5850;1888;London
act_lightning;act_lightning;;174;145;25492;176;Istanbul
luxuschrono;luxuschrono;;402;142;1867;3928;
arthshelby;arthshelby;;1314;141;261;4;Athens
iclaud90;iclaud90;;88;140;61244;54448;Rome
marcos12091989;marcos12091989;;383;140;7417;10767;Buenos Aires
f1_girl_sv;f1_girl_sv;;170;135;5468;2551;
alayzell20297;alayzell20297;;106;132;200;700;Pacific Time (US & Canada)
deekaysss;deekaysss;;136;132;4650;7328;
mngming88;mngming88;;456;130;3156;15225;Kuala Lumpur
guanmingy;guanmingy;;137;129;2744;383;Beijing
erickreynal;erickreynal;;129;126;2096;919;Mexico City
eli_valli;eli_valli;;741;122;3479;1307;Rome
nick_cat7;nick_cat7;;723;120;4883;1361;London
faqiherbara;faqiherbara;;43;119;9987;51;Pacific Time (US & Canada)
godoy7967;godoy7967;;216;119;188;10;
rbeef81;rbeef81;;358;118;959;2888;Eastern Time (US & Canada)
maiky_spindle;maiky_spindle;;270;114;20070;3563;Tokyo
lean_tperez;lean_tperez;;176;113;2177;304;
ganedrarama;ganedrarama;;65;111;608;831;
mardiso20;mardiso20;;147;110;14669;140;
kkkrisuuu;kkkrisuuu;;263;110;710;17632;Helsinki
espectadepor;espectadepor;;474;109;1052;62;Pacific Time (US & Canada)
giova_s_89;giova_s_89;;84;109;3292;711;Rome
nycnyc;nycnyc;;154;109;2587;196;Eastern Time (US & Canada)
tar_patri;tar_patri;;347;108;5475;4202;Buenos Aires
abschile;abschile;;1165;108;650;81;
nestor_cudra;nestor_cudra;;301;107;1063;1724;Atlantic Time (Canada)
niccydarling;niccydarling;;352;103;1160;370;Berlin
danielsahne94;danielsahne94;;105;102;11424;522;London
amitsingh8888;amitsingh8888;;295;100;398;250;Chennai
