type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_user_152605961465739	152605961465739_1021755917884068	https://www.facebook.com/152605961465739/posts/1021755917884068	"Feliz navidad para todos"	https://scontent.xx.fbcdn.net/v/t34.0-0/s130x130/12404136_467436540125417_357581370_n.jpg?oh=7f6109ad8c67b4335424c3e4a4817902&oe=590C24AF	https://scontent.xx.fbcdn.net/v/t34.0-12/12404136_467436540125417_357581370_n.jpg?oh=f2bfdaab9dfb967e7f153472fb6b6b6e&oe=590B3025	https://www.facebook.com/photo.php?fbid=467444613457943&set=gm.1090718774294966&type=3	facebook.com	2015-12-23T15:08:06+0000	1450883286	"2015-12-23 16:08:06"	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1021558207903839	https://www.facebook.com/152605961465739/posts/1021558207903839						2015-12-23T07:04:32+0000	1450854272	"2015-12-23 08:04:32"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1020822401310753	https://www.facebook.com/152605961465739/posts/1020822401310753						2015-12-22T16:17:37+0000	1450801057	"2015-12-22 17:17:37"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1020808647978795	https://www.facebook.com/152605961465739/posts/1020808647978795						2015-12-22T15:42:29+0000	1450798949	"2015-12-22 16:42:29"	14	0	14	0	14	0	0	0	0	0	14	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1020640851328908	https://www.facebook.com/152605961465739/posts/1020640851328908						2015-12-22T07:25:40+0000	1450769140	"2015-12-22 08:25:40"	18	0	18	0	18	0	0	0	0	0	18	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1020000508059609	https://www.facebook.com/152605961465739/posts/1020000508059609						2015-12-21T07:55:24+0000	1450684524	"2015-12-21 08:55:24"	10	0	10	0	10	0	0	0	0	0	10	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1019998704726456	https://www.facebook.com/152605961465739/posts/1019998704726456						2015-12-21T07:49:25+0000	1450684165	"2015-12-21 08:49:25"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1019410228118637	https://www.facebook.com/152605961465739/posts/1019410228118637						2015-12-20T06:48:20+0000	1450594100	"2015-12-20 07:48:20"	13	0	13	0	13	0	0	0	0	0	13	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1019089898150670	https://www.facebook.com/152605961465739/posts/1019089898150670						2015-12-19T15:53:30+0000	1450540410	"2015-12-19 16:53:30"	11	0	11	0	11	0	0	0	0	0	11	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018899248169735	https://www.facebook.com/152605961465739/posts/1018899248169735						2015-12-19T07:36:07+0000	1450510567	"2015-12-19 08:36:07"	13	0	13	0	13	0	0	0	0	0	13	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018897718169888	https://www.facebook.com/152605961465739/posts/1018897718169888						2015-12-19T07:27:12+0000	1450510032	"2015-12-19 08:27:12"	19	0	19	0	19	0	0	0	0	0	19	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018529011540092	https://www.facebook.com/152605961465739/posts/1018529011540092						2015-12-18T12:43:47+0000	1450442627	"2015-12-18 13:43:47"	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018494541543539	https://www.facebook.com/152605961465739/posts/1018494541543539						2015-12-18T11:09:27+0000	1450436967	"2015-12-18 12:09:27"	8	0	8	0	8	0	0	0	0	0	8	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018401641552829	https://www.facebook.com/152605961465739/posts/1018401641552829						2015-12-18T07:05:02+0000	1450422302	"2015-12-18 08:05:02"	16	0	16	0	16	0	0	0	0	0	16	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1018062751586718	https://www.facebook.com/152605961465739/posts/1018062751586718						2015-12-17T17:11:12+0000	1450372272	"2015-12-17 18:11:12"	5	0	5	0	5	0	0	0	0	0	5	0	0	0	0	0	0
