Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
bodyfreaksswans,bodyfreaksswans,947,15165,6245,1553,Amsterdam
sportvf1,sportvf1,128,15160,6225,20,Brasilia
footballarchive,footballarchive,546,15072,31793,9317,Amsterdam
piusgasso,piusgasso,123,14978,40805,15386,Madrid
trendinaliagt,trendinaliagt,39,14939,284427,2,Central America
cambio16,cambio16,1822,14835,118223,7190,Madrid
joseluiscruzg,joseluiscruzg,7364,14758,30324,6421,Mexico City
michaelcarus0,michaelcarus0,80,14588,1510,6118,Melbourne
bgg2wl,bgg2wl,1189,14505,173803,8682,Eastern Time (US & Canada)
portf1,portf1,10081,13696,3377,5882,Tokyo
unibetfrance,unibetfrance,239,13692,23592,3883,Paris
ttesbot,ttesbot,850,13644,192764,0,Madrid
jcbmachines,jcbmachines,567,13538,2419,2292,London
7b7f43e61443497,7b7f43e61443497,13185,13534,72244,92011,
thecheckerflag,thecheckerflag,8336,13501,51336,1924,London
thomasjoscelyn,thomasjoscelyn,594,13435,9180,2091,Eastern Time (US & Canada)
chandonworlds,chandonworlds,109,13286,354,560,Paris
ourbigbrolouis,ourbigbrolouis,12166,13251,49597,34071,Baghdad
artsclubhq,artsclubhq,8147,13240,13167,2559,London
uzapelloni,uzapelloni,1041,13067,11770,101,Rome
thompsonsgarage,thompsonsgarage,6679,13035,47714,9115,London
trendinaliaus,trendinaliaus,54,12732,958551,32,Eastern Time (US & Canada)
portante24,portante24,28,12732,7004,8524,
harohectormx,harohectormx,152,12617,2783,1324,Amsterdam
ferrarifandaily,ferrarifandaily,605,12604,11865,0,Pacific Time (US & Canada)
winfieldf1,winfieldf1,828,12588,117702,3120,Madrid
oddscheckeres,oddscheckeres,3949,12552,6020,82,Pacific Time (US & Canada)
salome_l,salome_l,996,12503,22718,3688,Paris
auto_app,auto_app,2708,12407,14814,10616,Pacific Time (US & Canada)
formula2017,formula2017,2887,12397,4318,14217,Pacific Time (US & Canada)
momentsau,momentsau,111,12257,6673,20,Pacific Time (US & Canada)
withmeaa,withmeaa,428,11997,7821,125,Sydney
lance_stroll,lance_stroll,4,11975,362,308,Pacific Time (US & Canada)
autosprintlive,autosprintlive,78,11845,38539,522,
bet_deals,bet_deals,2323,11789,6205,181,Dublin
laultima_vuelta,laultima_vuelta,8307,11695,8873,3867,
giuseppeturrisi,giuseppeturrisi,2578,11658,26246,56970,
badilandss,badilandss,7363,11591,219655,33988,Rome
greenbeltmovmnt,greenbeltmovmnt,795,11316,6844,579,Nairobi
oscarcos,oscarcos,1292,11312,16876,29411,Chihuahua
rabv77,rabv77,394,11301,22937,449,Central Time (US & Canada)
fansofkr,fansofkr,165,11236,19086,9736,Baghdad
kl_motorsport,kl_motorsport,1846,11140,8650,8085,London
anto_giovinazzi,anto_giovinazzi,374,11118,1672,4627,Bangkok
lupiongp,lupiongp,7678,11118,19220,14488,Belgrade
eintracht_esp,eintracht_esp,168,10984,3760,212,Berlin
chazmozzie,chazmozzie,89,10967,1635,2123,Melbourne
dan_rigsby,dan_rigsby,9577,10948,103262,33304,UTC
wakeupmob,wakeupmob,10671,10939,100341,37786,Adelaide
dumilm,dumilm,1892,10894,47899,859,Eastern Time (US & Canada)
vicentelozadab,vicentelozadab,6974,10805,141529,2563,Mexico City
f1broadcasting,f1broadcasting,214,10685,17314,0,London
bgt5454,bgt5454,10866,10669,4352,15583,Pacific Time (US & Canada)
ttmobile_pe,ttmobile_pe,30,10666,117050,0,Athens
saiso1,saiso1,4865,10662,19138,57,
consuladosgalo,consuladosgalo,58,10440,6660,10135,
etc2500,etc2500,6799,10338,156508,29030,Brussels
mclaren_soul,mclaren_soul,3441,10256,82191,959,Madrid
cheekycorini,cheekycorini,6559,10135,91279,69212,London
mrtinogonzalez,mrtinogonzalez,5759,9936,93293,32990,Madrid
swing_puik,swing_puik,1477,9686,301333,1,Quito
sluttydixon,sluttydixon,1239,9650,29022,4368,London
sheenstyle7,sheenstyle7,214,9557,3978,6654,
sky_kai,sky_kai,28,9414,5039,17,
raidkkonen,raidkkonen,249,9335,109678,57546,Quito
szwest1,szwest1,747,9288,26671,17773,Pacific Time (US & Canada)
beglamourf1,beglamourf1,7880,9177,38193,20240,Amsterdam
fotograaf,fotograaf,3422,9096,17793,11623,Brussels
bwabatu,bwabatu,7275,8977,399,8,Riyadh
sky_saschar,sky_saschar,226,8952,4376,1026,Amsterdam
bsrrbruno,bsrrbruno,6811,8883,13076,6242,Santiago
shiku_kamum,shiku_kamum,2329,8843,30723,8385,
ziggosportf1,ziggosportf1,104,8793,826,19,
tokoalatpijat,tokoalatpijat,1307,8760,48236,1737,Jakarta
laralm70,laralm70,9471,8749,46575,7201,Monterrey
livunilibrary,livunilibrary,1252,8740,27662,10038,London
f1zone,f1zone,546,8659,41092,22,London
93horan__x,93horan__x,4923,8640,153474,7104,Ljubljana
mattzel89,mattzel89,115,8638,23456,1476,Berlin
f1taxi,f1taxi,2389,8587,40020,43412,London
dra_teraizamesa,dra_teraizamesa,6754,8586,67888,4620,Caracas
laboure_lima,laboure_lima,8457,8556,140986,76751,Brasilia
kicker_bvb,kicker_bvb,2,8484,4077,0,Berlin
sidepodcast,sidepodcast,73,8405,59402,4050,London
automovilclick,automovilclick,8617,8307,15799,792,Santiago
ricciardo,ricciardo,131,8297,2543,4218,Pacific Time (US & Canada)
v8x_magazine,v8x_magazine,686,8192,13609,7027,Melbourne
nathxlha,nathxlha,2658,8130,198646,709,Atlantic Time (Canada)
sokolimokiem,sokolimokiem,111,8114,7114,6,Warsaw
